TIPO,FABRICANTE,MODELO,VARIANTE,MOTOR,ORI,MOD,GAIN,HP,RPM,T_ORI,T_MOD,OBD,STG,ACC,RON,VMX,CAT,EGR,DPF,IMM,SWR,MS,ADB,SS,P&B,CAT2,STG1,STG2,ONLY_J2,COMBO_J2,ONLY_J4,COMBO-J4,D_STG1,D_STG2,D_ONLY_J2,D_COMBO_J2,D_ONLY_J4,D_COMBO_J4,KESS,KTAG,KESS3,DFOX,FLEX,BITBOX,FOTO1,FOTO2,FOTO3,FOTO4,NOTAS_ESPECIALES,ID
AUTO / UTIL,ABARTH,500,1.4T (135 HP),1.4T,135,167,32,36,3800,206,276,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,121,24,,,,,,,,,,1
AUTO / UTIL,ABARTH,500 595 EURO 6,1.4T (165 HP),1.4T,165,198,33,59,4100,234,320,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN2,223700,263200,91500,45750,,,67110,78960,27450,13725,0,0,x,1275 642,,,,,,,,,,2
AUTO / UTIL,ALFA ROMEO,GIULIETTA,1.4T (135 HP),1.4T,135,167,32,36,3800,206,276,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,121,24,,,,,,,,,,3
AUTO / UTIL,ALFA ROMEO,GIULIETTA,1750Bti (235 HP),1750Bti,235,275,40,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN2,223700,263200,91500,45750,,,67110,78960,27450,13725,0,0,229,1315 150,,,,,,,,,,4
AUTO / UTIL,ALFA ROMEO,145,18L (144 HP),18L,144,156,12,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,4,x,,,,,,,,,,5
AUTO / UTIL,ALFA ROMEO,145,20L (150 HP),20L,150,163,13,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,5,x,,,,,,,,,,6
AUTO / UTIL,ALFA ROMEO,146,18L (144 HP),18L,144,156,12,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,4,x,,,,,,,,,,7
AUTO / UTIL,ALFA ROMEO,146,20L (150 HP),20L,150,163,13,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,5,x,,,,,,,,,,8
AUTO / UTIL,ALFA ROMEO,147,18L (144 HP),18L,144,156,12,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,4,x,,,,,,,,,,9
AUTO / UTIL,ALFA ROMEO,147,20L (150 HP),20L,150,163,13,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,5,x,,,,,,,,,,10
AUTO / UTIL,ALFA ROMEO,156,18L (144 HP),18L,144,156,12,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,4,x,,,,,,,,,,11
AUTO / UTIL,ALFA ROMEO,156,20L (150 HP),20L,150,163,13,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,5,x,,,,,,,,,,12
AUTO / UTIL,ALFA ROMEO,147 156,1.9JTD (140 HP),1.9JTD,140,165,25,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TD1,125000,125000,84200,21050,131600,65800,37500,37500,25260,6315,39480,19740,54,1,,,,,,,,,,13
AUTO / UTIL,ALFA ROMEO,MITO,1.4T (155 HP),1.4T,155,180,25,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,121,24,,,,,,,,,,14
AUTO / UTIL,ALFA ROMEO,MITO,1.4T (135 HP),1.4T,135,167,32,36,3800,206,276,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,121,24,,,,,,,,,,15
AUTO / UTIL,AUDI,A1,1.4TFSI (125 HP),1.4TFSI,125,150,25,32,3300,209,280,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,203,128,,,,,,,,,,16
AUTO / UTIL,AUDI,A1,1.4T EA211 (125 HP),1.4T EA211,125,162,37,38,4900,202,262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,465,1321 179,,,,,,,,,,17
AUTO / UTIL,AUDI,A1,1.2TSI (90 HP),1.2TSI,90,120,30,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,384,x,,,,,,,,,,18
